states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
AR,West Siang,0,0,-5,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,63,640,0,0,0,0,1/28/2021,0,0,112272,1868,6,1856,13192,33773,27867,4
AS,Udalguri,0,0,0,0,1935,1396,0,0,0,0,0,0,0,0,0,0,0,0,17371,19343,0,0,0,0,9/16/2020,0,0,832769,0,0,0,24661,504439,133919,0
AS,Baksa,0,0,0,0,39,172,0,0,0,0,0,0,0,0,0,0,0,0,2992,15169,0,0,0,0,1/28/2021,0,0,953773,0,0,0,0,553967,136574,0
AS,Barpeta,0,0,0,0,369,1035,0,0,0,0,0,0,0,0,0,0,0,0,10495,48544,0,0,0,0,1/28/2021,0,0,1693190,0,0,0,0,1095048,448006,0
AS,Biswanath,0,0,0,0,507,1655,0,0,0,0,0,0,0,0,0,0,0,0,5661,35727,0,0,0,0,1/28/2021,0,0,612491,0,0,0,0,456088,213437,0
AS,Bongaigaon,0,0,0,0,85,1287,0,0,0,0,0,0,0,0,0,0,0,0,2784,18356,0,0,0,0,1/29/2021,0,0,732639,0,0,0,0,493242,183782,0
AS,Cachar,0,0,0,0,2149,966,0,0,0,0,0,0,0,0,0,0,0,0,26826,21591,0,0,0,0,1/29/2021,0,0,1736319,0,0,0,0,1101266,402535,0
AS,Charaideo,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,1853,16868,0,0,0,0,1/29/2021,0,0,0,0,0,0,0,309125,111219,0
AS,Chirang,0,0,0,0,22,89,0,0,0,0,0,0,0,0,0,0,0,0,2488,9573,0,0,0,0,1/29/2021,0,0,481818,0,0,0,0,288696,102397,0
AS,Darrang,0,0,0,0,365,270,0,0,0,0,0,0,0,0,0,0,0,0,17453,21800,0,0,0,0,1/30/2021,0,0,908090,0,0,0,0,596783,183724,0
AS,Dhemaji,0,0,0,0,55,47,0,0,0,0,0,0,0,0,0,0,0,0,3423,15318,0,0,0,0,1/31/2021,0,0,688077,0,0,0,0,431792,184251,0
AS,Dhubri,0,0,0,0,1042,1906,0,0,0,0,0,0,0,0,0,0,0,0,12450,25644,0,0,0,0,1/2/2021,0,0,1948632,0,0,0,0,945264,229696,0
AS,Dibrugarh,0,0,0,0,699,4007,0,0,0,0,0,0,0,0,0,0,0,0,8869,38695,0,0,0,0,1/2/2021,0,0,1327748,0,0,0,301657,914640,430800,0
AS,Dima Hasao,0,0,0,0,160,59,0,0,0,0,0,0,0,0,0,0,0,0,2532,3737,0,0,0,0,1/2/2021,0,0,213529,0,0,0,0,116318,62593,0
AS,Goalpara,0,0,0,0,47,81,0,0,0,0,0,0,0,0,0,0,0,0,4013,30725,0,0,0,0,1/2/2021,0,0,1008959,0,0,0,0,662016,195521,0
